Film,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Content Rating,Directors,Actors,Production Company,director_movie_nominated
A Room with a View,Ismail Merchant,Nominee,1985,117,"Drama,Romance",7.3,"41,517",unknown,unknown,unknown,unknown,0
Hope and Glory,John Boorman,Nominee,1987,113,"Comedy,Drama,Romance",7.3,"13,104",unknown,unknown,unknown,unknown,0
Driving Miss Daisy,Richard D. Zanuck and Lili Fini Zanuck,Winner,1989,99,Drama,7.4,"104,806",unknown,unknown,unknown,unknown,0
Dances with Wolves,Jim Wilson and Kevin Costner,Winner,1990,181,"Adventure,Drama,Western",8.0,"249,524",unknown,unknown,unknown,unknown,0
The Godfather Part III,Francis Ford Coppola,Nominee,1990,162,"Crime,Drama",7.6,"373,892",unknown,unknown,unknown,unknown,0
Goodfellas,Irwin Winkler,Nominee,1990,146,"Biography,Crime,Drama",8.7,"1,065,109",unknown,unknown,unknown,unknown,0
The Postman (Il Postino),"Mario Cecchi Gori, Vittorio Cecchi Gori, and Gaetano Daniele",Nominee,1994,108,"Biography,Comedy,Drama",7.7,"34,974",unknown,unknown,unknown,unknown,0
Sense and Sensibility,Lindsay Doran,Nominee,1995,136,"Drama,Romance",7.7,"108,657",unknown,unknown,unknown,unknown,0
Jerry Maguire,"James L. Brooks, Laurence Mark, Richard Sakai, and Cameron Crowe",Nominee,1996,139,"Comedy,Drama,Romance",7.3,"251,072",unknown,unknown,unknown,unknown,0
Secrets & Lies,Simon Channing-Williams,Nominee,1996,136,"Comedy,Drama",8.0,"41,079",unknown,unknown,unknown,unknown,0
Life Is Beautiful,Elda Ferri and Gianluigi Braschi,Nominee,1997,116,"Comedy,Drama,Romance",8.6,"649,390",unknown,unknown,unknown,unknown,0
"Crouching Tiger, Hidden Dragon","William Kong, Hsu Li-kong, and Ang Lee",Nominee,2000,120,"Action,Adventure,Fantasy",7.8,"259,991",unknown,unknown,unknown,unknown,0
Lost in Translation,Ross Katz and Sofia Coppola,Nominee,2003,102,"Comedy,Drama",7.7,"431,381",unknown,unknown,unknown,unknown,0
"Good Night, and Good Luck",Grant Heslov,Nominee,2005,93,"Biography,Drama,History",7.4,"95,865",unknown,unknown,unknown,unknown,0
The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro",Winner,2008,131,"Drama,Thriller,War",7.5,"433,326",unknown,unknown,unknown,unknown,0
Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness, and Gary Magness",Nominee,2009,110,Drama,7.3,"107,998",unknown,unknown,unknown,unknown,0
Extremely Loud & Incredibly Close,Scott Rudin,Nominee,2011,129,"Adventure,Drama,Mystery",6.9,"99,514",unknown,unknown,unknown,unknown,0
Lincoln,Steven Spielberg and Kathleen Kennedy,Nominee,2011,118,"Crime,Drama,Mystery",7.3,"223,752",unknown,unknown,unknown,unknown,0
Zero Dark Thirty,"Mark Boal, Kathryn Bigelow, and Megan Ellison",Nominee,2012,157,"Drama,History,Thriller",7.4,"283,119",unknown,unknown,unknown,unknown,0
Birdman or (The Unexpected Virtue of Ignorance),"Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole",Winner,2014,119,"Comedy,Drama",7.7,"599,240",unknown,unknown,unknown,unknown,0
American Sniper,"Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan",Nominee,2014,133,"Action,Biography,Drama",7.3,"455,885",unknown,unknown,unknown,unknown,0
